project_id,industry_type,team_size,seniority_mix_junior,seniority_mix_mid,seniority_mix_senior,budget_planned_usd,budget_planned_inr,budget_actual_usd,budget_actual_inr,duration_planned_weeks,duration_actual_weeks,scope_change_count,client_type,employee_cost_ratio,attrition_events,weekly_burn_rate_variance,outcome_label
DELTA-0017,Telecom,5,0.284,0.216,0.5,82418.0,6881903,87402.0,7298067,13,11,2,time_and_material,0.538,0,0.116,on_track
DELTA-0018,EdTech,18,0.6,0.199,0.201,125998.0,10520833,158336.0,13221056,13,15,3,time_and_material,0.638,1,0.058,at_risk
DELTA-0019,EdTech,20,0.436,0.311,0.253,246689.0,20598531,372032.0,31064672,9,11,3,outcome_based,0.61,3,0.122,failed
DELTA-0020,Retail,26,0.6,0.284,0.116,756857.0,63197559,997951.0,83328908,8,8,2,fixed_bid,0.603,1,0.044,at_risk
DELTA-0021,Government,23,0.22,0.543,0.237,50000.0,4175000,56001.0,4676083,8,8,2,time_and_material,0.605,1,0.01,on_track
DELTA-0022,Manufacturing,36,0.303,0.594,0.103,162973.0,13608245,186212.0,15548702,10,10,2,time_and_material,0.534,1,0.107,on_track
DELTA-0023,Healthcare,22,0.571,0.152,0.277,59909.0,5002401,80341.0,6708473,9,10,3,time_and_material,0.601,3,0.174,failed
DELTA-0024,EdTech,13,0.5,0.098,0.402,50000.0,4175000,66611.0,5562018,8,10,3,fixed_bid,0.63,1,0.108,at_risk
DELTA-0025,Telecom,14,0.317,0.417,0.266,474615.0,39630352,587706.0,49073451,11,12,4,fixed_bid,0.552,1,0.156,at_risk
DELTA-0026,Government,12,0.274,0.287,0.439,324539.0,27099006,342428.0,28592738,13,13,2,outcome_based,0.521,0,0.085,on_track
DELTA-0027,Government,17,0.361,0.443,0.196,297893.0,24874065,384590.0,32113265,8,9,5,fixed_bid,0.599,1,0.118,failed
DELTA-0028,Healthcare,7,0.445,0.199,0.356,455396.0,38025566,596923.0,49843070,16,18,5,time_and_material,0.571,1,0.094,at_risk
DELTA-0029,EdTech,18,0.207,0.649,0.144,129088.0,10778848,149449.0,12478991,8,9,4,time_and_material,0.523,1,0.156,on_track
DELTA-0030,Telecom,14,0.471,0.209,0.32,134675.0,11245362,174246.0,14549541,14,17,1,fixed_bid,0.608,2,0.057,failed
DELTA-0031,Manufacturing,17,0.133,0.511,0.356,1421406.0,118687401,1823018.0,152222003,15,18,5,outcome_based,0.591,1,0.095,at_risk
DELTA-0032,BFSI,17,0.453,0.216,0.331,159226.0,13295371,195567.0,16329844,8,9,2,fixed_bid,0.516,2,0.105,on_track
DELTA-0033,Telecom,5,0.281,0.368,0.351,385238.0,32167373,440431.0,36775988,8,8,3,time_and_material,0.655,0,0.094,on_track
DELTA-0034,Healthcare,8,0.472,0.088,0.44,199934.0,16694489,238621.0,19924853,8,8,2,outcome_based,0.606,0,0.068,at_risk
DELTA-0035,Government,13,0.403,0.247,0.35,50000.0,4175000,73306.0,6121051,8,10,7,time_and_material,0.509,3,0.173,failed
DELTA-0036,Manufacturing,14,0.539,0.128,0.333,50000.0,4175000,71662.0,5983777,8,10,4,outcome_based,0.608,4,0.137,failed
DELTA-0037,Telecom,17,0.19,0.534,0.276,118055.0,9857592,142731.0,11918038,10,11,2,time_and_material,0.603,1,0.052,at_risk
DELTA-0038,BFSI,17,0.322,0.213,0.465,514263.0,42940960,660601.0,55160183,10,11,3,outcome_based,0.664,1,0.036,at_risk
DELTA-0039,BFSI,36,0.422,0.099,0.479,404118.0,33743853,539844.0,45076974,10,11,4,outcome_based,0.548,1,0.126,at_risk
DELTA-0040,Retail,17,0.444,0.096,0.46,452557.0,37788509,664348.0,55473058,8,10,5,time_and_material,0.616,3,0.132,failed
DELTA-0041,Retail,12,0.247,0.58,0.173,81769.0,6827711,94695.0,7907032,10,10,3,time_and_material,0.562,1,0.066,on_track
DELTA-0042,Energy,5,0.179,0.321,0.5,851100.0,71066850,984342.0,82192557,13,15,2,fixed_bid,0.552,0,0.103,at_risk
DELTA-0043,Healthcare,6,0.177,0.323,0.5,83416.0,6965236,83615.0,6981852,16,17,1,fixed_bid,0.541,0,0.033,on_track
DELTA-0044,EdTech,20,0.462,0.276,0.262,240756.0,20103126,313179.0,26150446,8,9,2,outcome_based,0.496,3,0.133,at_risk
DELTA-0045,Telecom,28,0.434,0.361,0.205,196945.0,16444907,259776.0,21691296,8,9,3,outcome_based,0.598,2,0.112,at_risk
DELTA-0046,Telecom,37,0.484,0.374,0.142,169993.0,14194415,208184.0,17383364,11,12,3,time_and_material,0.561,2,0.145,at_risk
DELTA-0047,EdTech,9,0.295,0.306,0.399,663134.0,55371689,767417.0,64079319,14,15,6,time_and_material,0.469,0,0.098,on_track
DELTA-0048,Energy,12,0.281,0.658,0.061,105387.0,8799814,111916.0,9344986,8,8,0,fixed_bid,0.584,0,0.051,on_track
DELTA-0049,Government,17,0.461,0.09,0.449,59003.0,4926750,79945.0,6675407,8,9,2,fixed_bid,0.617,2,0.098,failed
DELTA-0050,Government,50,0.4,0.1,0.5,202398.0,16900233,322206.0,26904201,16,22,3,fixed_bid,0.538,9,0.175,failed
DELTA-0051,Energy,15,0.56,0.093,0.347,138712.0,11582452,184683.0,15421030,15,18,4,outcome_based,0.544,2,0.112,failed
DELTA-0052,Government,37,0.355,0.507,0.138,4154258.0,346880543,5167858.0,431516143,24,29,3,outcome_based,0.59,3,0.11,at_risk
DELTA-0053,Retail,16,0.435,0.094,0.471,365439.0,30514156,451548.0,37704258,8,9,2,time_and_material,0.478,2,0.117,at_risk
DELTA-0054,Telecom,29,0.224,0.724,0.052,137529.0,11483671,164910.0,13769985,16,18,1,fixed_bid,0.555,2,0.128,at_risk
DELTA-0055,Energy,27,0.352,0.482,0.166,76841.0,6416223,97028.0,8101838,8,9,4,time_and_material,0.591,1,0.093,at_risk
DELTA-0056,Telecom,16,0.6,0.137,0.263,50000.0,4175000,69893.0,5836065,8,11,1,time_and_material,0.549,4,0.155,failed
DELTA-0057,EdTech,8,0.309,0.456,0.235,79007.0,6597084,84850.0,7084975,8,7,2,time_and_material,0.534,0,0.116,on_track
DELTA-0058,BFSI,12,0.336,0.164,0.5,220454.0,18407909,232539.0,19417006,8,8,1,time_and_material,0.53,0,0.016,on_track
DELTA-0059,Retail,36,0.456,0.391,0.153,718266.0,59975211,1090959.0,91095076,8,10,4,time_and_material,0.507,6,0.16,failed
DELTA-0060,Manufacturing,25,0.173,0.672,0.155,545533.0,45552005,611073.0,51024595,16,17,1,time_and_material,0.549,1,0.01,on_track
DELTA-0061,Retail,11,0.335,0.192,0.473,244308.0,20399718,307137.0,25645939,8,8,2,fixed_bid,0.629,1,0.08,at_risk
DELTA-0062,Energy,12,0.6,0.226,0.174,148620.0,12409770,224906.0,18779651,9,12,4,fixed_bid,0.673,2,0.17,failed
DELTA-0063,Manufacturing,5,0.14,0.46,0.4,253199.0,21142116,298589.0,24932181,13,13,3,fixed_bid,0.573,0,0.068,on_track
DELTA-0064,BFSI,35,0.261,0.407,0.332,124645.0,10407857,159949.0,13355741,8,9,6,time_and_material,0.605,0,0.177,at_risk
DELTA-0065,Energy,25,0.545,0.091,0.364,933342.0,77934057,1243301.0,103815633,9,10,4,time_and_material,0.535,2,0.183,at_risk
DELTA-0066,Healthcare,13,0.1,0.685,0.215,167665.0,14000027,163105.0,13619267,14,13,0,fixed_bid,0.494,0,0.12,on_track
DELTA-0067,Telecom,16,0.6,0.165,0.235,183927.0,15357904,230161.0,19218443,11,12,1,time_and_material,0.663,1,0.076,at_risk
DELTA-0068,BFSI,5,0.6,0.145,0.255,50000.0,4175000,68949.0,5757241,8,10,1,time_and_material,0.552,1,0.139,at_risk
DELTA-0069,Telecom,11,0.33,0.233,0.437,166726.0,13921621,169676.0,14167946,14,15,2,time_and_material,0.604,0,0.084,on_track
DELTA-0070,Government,33,0.58,0.118,0.302,422031.0,35239588,525163.0,43851110,16,19,0,time_and_material,0.6,3,0.116,at_risk
DELTA-0071,Healthcare,26,0.539,0.143,0.318,76042.0,6349507,101034.0,8436339,9,11,5,time_and_material,0.618,2,0.198,failed
DELTA-0072,Healthcare,18,0.419,0.471,0.11,101149.0,8445941,135945.0,11351407,8,10,5,outcome_based,0.617,1,0.06,failed
DELTA-0073,BFSI,14,0.557,0.174,0.269,405728.0,33878288,618025.0,51605087,8,11,7,outcome_based,0.584,2,0.123,failed
DELTA-0074,Healthcare,23,0.6,0.139,0.261,52628.0,4394438,63064.0,5265844,9,10,2,outcome_based,0.595,1,0.125,at_risk
DELTA-0075,Manufacturing,12,0.171,0.598,0.231,515050.0,43006675,626956.0,52350826,10,12,3,outcome_based,0.627,2,0.071,at_risk
DELTA-0076,Healthcare,5,0.187,0.538,0.275,123139.0,10282106,154482.0,12899247,13,15,2,fixed_bid,0.559,1,0.135,at_risk
DELTA-0077,Telecom,14,0.365,0.276,0.359,140124.0,11700354,173834.0,14515139,8,10,5,time_and_material,0.679,0,0.063,at_risk
DELTA-0078,Telecom,18,0.581,0.302,0.117,72294.0,6036549,80162.0,6693527,8,8,4,time_and_material,0.563,0,0.097,on_track
DELTA-0079,Energy,29,0.265,0.566,0.169,279355.0,23326142,357532.0,29853922,10,11,5,time_and_material,0.587,2,0.132,at_risk
DELTA-0080,Telecom,6,0.382,0.387,0.231,1819158.0,151899693,2525922.0,210914487,18,24,3,outcome_based,0.603,1,0.139,failed
DELTA-0081,Energy,13,0.344,0.431,0.225,401654.0,33538109,470508.0,39287418,8,9,4,outcome_based,0.511,0,0.071,on_track
DELTA-0082,Telecom,14,0.139,0.752,0.109,91321.0,7625303,120292.0,10044382,8,10,1,outcome_based,0.627,2,0.089,failed
DELTA-0083,Manufacturing,7,0.581,0.196,0.223,552417.0,46126819,656857.0,54847559,11,12,3,fixed_bid,0.593,0,0.076,at_risk
DELTA-0084,EdTech,19,0.413,0.241,0.346,149490.0,12482415,194725.0,16259537,8,10,0,time_and_material,0.717,3,0.133,failed
DELTA-0085,Energy,23,0.6,0.255,0.145,684905.0,57189567,809872.0,67624312,15,16,2,fixed_bid,0.659,0,0.051,at_risk
DELTA-0086,Retail,12,0.205,0.295,0.5,410860.0,34306810,427858.0,35726143,10,9,1,fixed_bid,0.591,0,0.125,on_track
DELTA-0087,Government,51,0.48,0.468,0.052,50000.0,4175000,63542.0,5305757,8,9,6,time_and_material,0.643,1,0.13,at_risk
DELTA-0088,BFSI,12,0.251,0.336,0.413,80525.0,6723837,88251.0,7368958,14,14,2,fixed_bid,0.611,0,0.049,on_track
DELTA-0089,Telecom,11,0.37,0.501,0.129,465071.0,38833428,594564.0,49646094,8,10,3,time_and_material,0.59,1,0.099,at_risk
DELTA-0090,Healthcare,11,0.513,0.085,0.402,227861.0,19026393,261811.0,21861218,11,12,3,outcome_based,0.511,0,0.031,on_track
DELTA-0091,EdTech,9,0.443,0.295,0.262,79111.0,6605768,76646.0,6399941,8,8,0,time_and_material,0.535,0,0.067,on_track
DELTA-0092,Telecom,10,0.455,0.156,0.389,112394.0,9384899,129034.0,10774339,8,9,0,fixed_bid,0.616,0,0.205,on_track
DELTA-0093,Healthcare,6,0.344,0.33,0.326,50000.0,4175000,56713.0,4735535,8,9,1,time_and_material,0.551,0,0.112,on_track
DELTA-0094,Government,13,0.445,0.221,0.334,183590.0,15329765,225097.0,18795599,12,13,0,outcome_based,0.58,2,0.093,at_risk
DELTA-0095,Government,15,0.368,0.492,0.14,1453697.0,121383699,1947841.0,162644723,17,19,3,time_and_material,0.626,1,0.066,at_risk
DELTA-0096,Government,5,0.419,0.097,0.484,410216.0,34253036,542479.0,45296996,10,12,3,outcome_based,0.616,1,0.025,failed
DELTA-0097,Healthcare,13,0.248,0.606,0.146,1427414.0,119189069,1684739.0,140675706,12,14,3,fixed_bid,0.547,1,0.057,at_risk
DELTA-0098,Telecom,15,0.491,0.085,0.424,439836.0,36726306,580607.0,48480684,9,11,1,time_and_material,0.62,3,0.124,failed
DELTA-0099,Government,20,0.503,0.327,0.17,501185.0,41848947,636812.0,53173802,8,9,3,outcome_based,0.539,2,0.064,at_risk
DELTA-0100,Manufacturing,30,0.211,0.644,0.145,1174873.0,98101895,1570649.0,131149191,17,20,5,fixed_bid,0.534,3,0.109,failed
DELTA-0101,Energy,24,0.333,0.44,0.227,279159.0,23309776,338131.0,28233938,8,8,1,outcome_based,0.6,1,0.049,on_track
DELTA-0102,Healthcare,10,0.6,0.102,0.298,167962.0,14024827,212089.0,17709431,15,18,0,time_and_material,0.545,2,0.017,at_risk
DELTA-0103,Healthcare,9,0.355,0.444,0.201,503526.0,42044421,568248.0,47448708,8,8,2,fixed_bid,0.552,0,0.184,on_track
DELTA-0104,Telecom,21,0.436,0.139,0.425,735610.0,61423435,959314.0,80102719,8,9,1,outcome_based,0.611,2,0.107,at_risk
DELTA-0105,Healthcare,10,0.561,0.236,0.203,129059.0,10776426,144333.0,12051805,16,16,2,fixed_bid,0.602,0,0.078,on_track
DELTA-0106,Healthcare,7,0.436,0.151,0.413,103838.0,8670473,112101.0,9360433,8,8,2,time_and_material,0.563,0,0.088,on_track
DELTA-0107,Government,61,0.5,0.083,0.417,225250.0,18808375,295777.0,24697379,8,10,1,time_and_material,0.511,7,0.229,at_risk
DELTA-0108,Telecom,12,0.389,0.275,0.336,420142.0,35081857,474581.0,39627513,11,12,2,outcome_based,0.564,1,0.126,at_risk
DELTA-0109,Government,10,0.47,0.25,0.28,407697.0,34042699,555392.0,46375232,8,10,4,outcome_based,0.671,1,0.04,failed
DELTA-0110,Energy,5,0.395,0.351,0.254,55174.0,4607029,77238.0,6449373,8,9,3,fixed_bid,0.626,1,0.066,failed
DELTA-0111,EdTech,24,0.487,0.191,0.322,1110638.0,92738273,1495620.0,124884270,10,12,2,fixed_bid,0.632,1,0.133,at_risk
DELTA-0112,Energy,8,0.275,0.484,0.241,111630.0,9321105,141349.0,11802641,22,26,0,fixed_bid,0.593,2,0.061,failed
DELTA-0113,EdTech,15,0.195,0.518,0.287,156598.0,13075933,205168.0,17131528,8,9,1,outcome_based,0.561,3,0.125,at_risk
DELTA-0114,Government,26,0.511,0.085,0.404,88221.0,7366453,125611.0,10488518,8,10,6,outcome_based,0.609,3,0.075,failed
DELTA-0115,Energy,8,0.532,0.089,0.379,2254628.0,188261438,2834191.0,236654948,31,33,3,time_and_material,0.625,0,0.08,at_risk
DELTA-0116,Telecom,15,0.214,0.71,0.076,247177.0,20639279,300700.0,25108450,12,14,4,fixed_bid,0.552,1,0.147,at_risk
DELTA-0117,BFSI,37,0.152,0.348,0.5,92422.0,7717237,116579.0,9734346,8,10,0,time_and_material,0.546,5,0.077,at_risk
DELTA-0118,Government,5,0.107,0.577,0.316,432583.0,36120680,527597.0,44054349,8,8,6,outcome_based,0.515,0,0.075,on_track
DELTA-0119,EdTech,9,0.341,0.17,0.489,397210.0,33167035,496424.0,41451404,13,15,3,outcome_based,0.572,1,0.107,at_risk
DELTA-0120,Manufacturing,8,0.416,0.385,0.199,167886.0,14018481,229883.0,19195230,8,9,2,time_and_material,0.601,2,0.083,failed
DELTA-0121,EdTech,13,0.353,0.374,0.273,423600.0,35370600,529469.0,44210661,8,8,4,fixed_bid,0.569,0,0.093,on_track
DELTA-0122,Manufacturing,14,0.558,0.25,0.192,94583.0,7897680,128806.0,10755301,17,20,5,fixed_bid,0.61,1,0.082,at_risk
DELTA-0123,Healthcare,7,0.442,0.093,0.465,127564.0,10651594,159835.0,13346222,8,9,2,time_and_material,0.651,0,0.068,at_risk
DELTA-0124,Energy,10,0.5,0.083,0.417,50000.0,4175000,54638.0,4562273,15,16,1,outcome_based,0.578,0,0.1,on_track
DELTA-0125,Manufacturing,9,0.499,0.371,0.13,60381.0,5041813,68509.0,5720501,14,15,2,fixed_bid,0.581,0,0.056,on_track
DELTA-0126,EdTech,12,0.538,0.298,0.164,1011421.0,84453653,1464889.0,122318231,9,12,6,fixed_bid,0.592,2,0.207,failed
DELTA-0127,Healthcare,16,0.551,0.092,0.357,870902.0,72720317,1056242.0,88196207,18,23,1,outcome_based,0.55,1,0.036,at_risk
DELTA-0128,BFSI,25,0.591,0.141,0.268,210914.0,17611319,266346.0,22239891,8,10,4,time_and_material,0.55,2,0.123,at_risk
DELTA-0129,Telecom,28,0.323,0.612,0.065,887921.0,74141403,1197210.0,99967035,8,9,4,fixed_bid,0.549,4,0.146,at_risk
DELTA-0130,Telecom,22,0.382,0.49,0.128,172117.0,14371769,196907.0,16441734,8,8,1,outcome_based,0.537,1,0.097,on_track
DELTA-0131,Telecom,8,0.6,0.202,0.198,159680.0,13333280,214163.0,17882610,10,12,1,outcome_based,0.613,1,0.065,failed
DELTA-0132,Manufacturing,14,0.225,0.427,0.348,209161.0,17464943,221078.0,18460013,8,9,1,outcome_based,0.552,1,0.064,on_track
DELTA-0133,BFSI,61,0.228,0.46,0.312,177649.0,14833691,257638.0,21512773,8,10,2,time_and_material,0.637,5,0.123,failed
DELTA-0134,Manufacturing,27,0.413,0.101,0.486,163787.0,13676214,196754.0,16428959,14,16,4,fixed_bid,0.595,1,0.177,at_risk
DELTA-0135,Energy,11,0.455,0.389,0.156,556297.0,46450799,616666.0,51491611,12,12,4,time_and_material,0.582,0,0.109,on_track
DELTA-0136,Manufacturing,38,0.569,0.25,0.181,227549.0,19000341,279793.0,23362715,8,9,3,time_and_material,0.618,2,0.101,on_track
DELTA-0137,BFSI,11,0.6,0.194,0.206,377465.0,31518327,452595.0,37791682,13,14,5,time_and_material,0.565,1,0.085,on_track
DELTA-0138,BFSI,9,0.279,0.44,0.281,502948.0,41996158,612827.0,51171054,12,13,5,outcome_based,0.546,0,0.077,on_track
DELTA-0139,Energy,34,0.153,0.79,0.057,281916.0,23539986,380374.0,31761229,8,10,2,outcome_based,0.608,3,0.171,failed
DELTA-0140,BFSI,6,0.554,0.231,0.215,83013.0,6931585,89539.0,7476506,10,9,1,time_and_material,0.486,0,0.01,on_track
DELTA-0141,EdTech,5,0.571,0.203,0.226,58830.0,4912305,62308.0,5202718,10,11,0,time_and_material,0.582,0,0.033,on_track
DELTA-0142,BFSI,26,0.479,0.456,0.065,227271.0,18977128,267905.0,22370067,9,10,2,fixed_bid,0.6,1,0.148,at_risk
DELTA-0143,Telecom,15,0.328,0.277,0.395,170394.0,14227899,192847.0,16102724,13,13,2,fixed_bid,0.628,0,0.068,on_track
DELTA-0144,EdTech,16,0.348,0.313,0.339,215055.0,17957092,277320.0,23156220,8,10,2,outcome_based,0.65,1,0.125,failed
DELTA-0145,EdTech,11,0.201,0.39,0.409,195937.0,16360739,284049.0,23718091,10,12,7,time_and_material,0.565,2,0.128,failed
DELTA-0146,Energy,12,0.1,0.545,0.355,2033392.0,169788232,2939602.0,245456767,14,19,4,outcome_based,0.622,2,0.222,failed
DELTA-0147,Retail,11,0.187,0.313,0.5,60041.0,5013423,83866.0,7002811,10,13,3,time_and_material,0.557,3,0.176,failed
DELTA-0148,Retail,10,0.513,0.359,0.128,50000.0,4175000,62209.0,5194451,17,20,3,time_and_material,0.559,1,0.155,at_risk
DELTA-0149,BFSI,11,0.196,0.304,0.5,268106.0,22386851,331773.0,27703045,8,8,1,time_and_material,0.631,1,0.062,at_risk
DELTA-0150,EdTech,11,0.108,0.758,0.134,141664.0,11828944,156566.0,13073261,8,8,2,time_and_material,0.573,1,0.085,on_track
DELTA-0151,Retail,9,0.409,0.143,0.448,264199.0,22060616,294545.0,24594507,8,8,2,outcome_based,0.628,0,0.108,on_track
DELTA-0152,Retail,10,0.372,0.437,0.191,336211.0,28073618,388825.0,32466887,10,10,5,time_and_material,0.53,0,0.16,on_track
DELTA-0153,BFSI,5,0.29,0.299,0.411,631399.0,52721816,738867.0,61695394,8,8,3,time_and_material,0.596,0,0.076,on_track
DELTA-0154,Retail,22,0.158,0.492,0.35,51200.0,4275200,64595.0,5393682,10,11,3,time_and_material,0.612,2,0.142,at_risk
DELTA-0155,Manufacturing,18,0.222,0.706,0.072,120445.0,10057157,154726.0,12919621,12,13,2,outcome_based,0.626,1,0.088,at_risk
DELTA-0156,Healthcare,14,0.6,0.18,0.22,292402.0,24415567,358786.0,29958631,12,13,4,time_and_material,0.537,1,0.018,on_track
DELTA-0157,Energy,17,0.332,0.352,0.316,397685.0,33206697,425885.0,35561397,8,9,0,fixed_bid,0.62,0,0.038,on_track
DELTA-0158,Healthcare,17,0.485,0.096,0.419,1431315.0,119514802,1777978.0,148461163,22,24,1,fixed_bid,0.531,2,0.085,on_track
DELTA-0159,BFSI,9,0.204,0.54,0.256,469833.0,39231055,573702.0,47904117,15,16,4,time_and_material,0.574,0,0.122,at_risk
DELTA-0160,Telecom,10,0.472,0.088,0.44,188884.0,15771814,261302.0,21818717,13,16,2,outcome_based,0.507,3,0.152,failed
DELTA-0161,Energy,20,0.197,0.713,0.09,89197.0,7447949,90332.0,7542722,10,10,3,time_and_material,0.584,0,0.143,on_track
DELTA-0162,BFSI,16,0.273,0.588,0.139,119627.0,9988854,135908.0,11348318,9,9,3,fixed_bid,0.544,1,0.031,on_track
DELTA-0163,EdTech,50,0.336,0.164,0.5,116607.0,9736684,172698.0,14420283,13,15,6,time_and_material,0.566,5,0.172,failed
DELTA-0164,Telecom,39,0.429,0.463,0.108,358509.0,29935501,462558.0,38623593,19,22,1,outcome_based,0.583,3,0.166,at_risk
DELTA-0165,Healthcare,26,0.301,0.631,0.068,250520.0,20918420,304410.0,25418235,8,8,3,time_and_material,0.61,1,0.121,on_track
DELTA-0166,BFSI,9,0.236,0.496,0.268,60398.0,5043233,74293.0,6203465,13,16,2,fixed_bid,0.603,1,0.133,at_risk
DELTA-0167,EdTech,10,0.242,0.402,0.356,134280.0,11212380,135109.0,11281601,8,7,1,time_and_material,0.481,0,0.031,on_track
DELTA-0168,Energy,8,0.586,0.099,0.315,437920.0,36566320,504834.0,42153639,10,9,3,time_and_material,0.599,0,0.049,on_track
DELTA-0169,Energy,17,0.238,0.262,0.5,272800.0,22778800,310265.0,25907127,8,8,2,fixed_bid,0.591,0,0.094,on_track
DELTA-0170,Government,5,0.407,0.208,0.385,331631.0,27691188,338775.0,28287712,8,8,0,outcome_based,0.549,0,0.075,on_track
DELTA-0171,EdTech,11,0.301,0.572,0.127,280584.0,23428764,301140.0,25145190,8,8,0,time_and_material,0.547,2,0.056,on_track
DELTA-0172,Manufacturing,12,0.407,0.21,0.383,859226.0,71745371,1123919.0,93847236,11,13,4,time_and_material,0.579,1,0.207,at_risk
DELTA-0173,Retail,5,0.324,0.546,0.13,245840.0,20527640,284357.0,23743809,8,9,3,time_and_material,0.585,0,0.06,on_track
DELTA-0174,Telecom,24,0.6,0.238,0.162,140446.0,11727241,184251.0,15384958,8,9,2,time_and_material,0.587,1,0.069,at_risk
DELTA-0175,EdTech,7,0.284,0.527,0.189,87187.0,7280114,95238.0,7952373,8,7,0,outcome_based,0.566,0,0.044,on_track
DELTA-0176,Government,17,0.539,0.197,0.264,248860.0,20779810,329375.0,27502812,9,10,2,outcome_based,0.473,3,0.081,at_risk
DELTA-0177,Retail,79,0.505,0.247,0.248,50000.0,4175000,60546.0,5055591,8,9,0,fixed_bid,0.562,2,0.186,on_track
DELTA-0178,Retail,5,0.556,0.114,0.33,168407.0,14061984,233962.0,19535827,8,10,7,fixed_bid,0.524,1,0.204,failed
DELTA-0179,BFSI,13,0.6,0.148,0.252,165172.0,13791862,214409.0,17903151,10,12,3,time_and_material,0.67,1,0.084,failed
DELTA-0180,Retail,11,0.303,0.461,0.236,58219.0,4861286,74784.0,6244464,8,9,1,fixed_bid,0.587,1,0.121,at_risk
DELTA-0181,Manufacturing,10,0.534,0.098,0.368,86211.0,7198618,96408.0,8050068,13,13,3,time_and_material,0.602,0,0.044,on_track
DELTA-0182,Energy,23,0.589,0.098,0.313,411964.0,34398994,510026.0,42587171,11,12,5,time_and_material,0.608,1,0.048,at_risk
DELTA-0183,Government,28,0.479,0.087,0.434,244663.0,20429360,329410.0,27505735,12,14,5,time_and_material,0.593,4,0.101,failed
DELTA-0184,Retail,23,0.246,0.254,0.5,217860.0,18191310,277689.0,23187031,16,18,3,time_and_material,0.567,3,0.186,at_risk
DELTA-0185,BFSI,9,0.6,0.301,0.099,261898.0,21868483,314975.0,26300412,8,8,3,outcome_based,0.55,0,0.138,on_track
DELTA-0186,Manufacturing,64,0.525,0.229,0.246,216071.0,18041928,325209.0,27154951,8,10,1,time_and_material,0.491,11,0.158,on_track
DELTA-0187,Healthcare,5,0.316,0.386,0.298,608392.0,50800732,713577.0,59583679,16,16,2,fixed_bid,0.578,0,0.038,on_track
DELTA-0188,Energy,8,0.588,0.098,0.314,222145.0,18549107,261945.0,21872407,11,12,2,fixed_bid,0.587,0,0.081,on_track
DELTA-0189,Energy,16,0.241,0.621,0.138,53509.0,4468001,66051.0,5515258,8,9,5,time_and_material,0.584,1,0.141,on_track
DELTA-0190,Government,15,0.162,0.623,0.215,862091.0,71984598,1144287.0,95547964,20,25,2,fixed_bid,0.589,3,0.128,failed
DELTA-0191,Energy,19,0.437,0.194,0.369,277425.0,23164987,335876.0,28045646,8,9,2,time_and_material,0.548,3,0.052,on_track
